Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Phagosome	14/152	2.9429404928909195e-10	9.064256718104034e-08	0	0	9.446693657219972	207.3213114243187	ATP6V1A;ATP6V1G1;ITGAM;NCF1;NCF2;NCF4;ITGB2;TAP1;CYBB;CYBA;TCIRG1;MPO;ATP6V1B2;ATP6V0D1
KEGG_2019_Human	Proteasome	8/45	1.1192849756997793e-08	1.7236988625776604e-06	0	0	18.233618233618234	333.8209126303814	PSMA5;PSMC6;PSMA2;PSMC2;PSMD1;PSME2;PSMB10;PSMB9
KEGG_2019_Human	Leukocyte transendothelial migration	10/112	1.4727103455402012e-07	1.5119826214212732e-05	0	0	9.157509157509157	144.05669574499453	ITGAM;NCF1;NCF2;NCF4;ITGB2;CYBB;CYBA;EZR;MMP9;ICAM1
KEGG_2019_Human	Leishmaniasis	8/74	6.148364475775353e-07	4.7342406463470224e-05	0	0	11.088011088011088	158.57973159701987	ITGAM;NCF1;NCF2;STAT1;ITGB2;NCF4;CYBB;CYBA
KEGG_2019_Human	Rheumatoid arthritis	8/91	3.0104037955946153e-06	0.00018544087380862828	0	0	9.016624401239786	114.6322802983659	ATP6V1A;ATP6V1G1;MMP1;ITGB2;ATP6V1B2;TCIRG1;ATP6V0D1;ICAM1
KEGG_2019_Human	Collecting duct acid secretion	5/27	5.675317469968438e-06	0.00029133296345837975	0	0	18.99335232668566	229.42799723298836	ATP6V1A;ATP6V1G1;ATP6V1B2;TCIRG1;ATP6V0D1
KEGG_2019_Human	NOD-like receptor signaling pathway	10/178	1.0159676981711846e-05	0.00044702578719532117	0	0	5.762028233938347	66.24652209425496	GBP5;HSP90AA1;IFI16;STAT1;CYBB;CYBA;DEFA1B;GBP1;CAMP;GBP4
KEGG_2019_Human	Osteoclast differentiation	8/127	3.522625385281253e-05	0.0013562107733332829	0	0	6.460730870179689	66.24651826545801	PPP3CA;NCF1;NCF2;STAT1;NCF4;CYBA;LCP2;NFKB2
KEGG_2019_Human	Staphylococcus aureus infection	6/68	5.268258641141533e-05	0.0018029151794128802	0	0	9.049773755656108	89.15136276603094	C1QA;ITGAM;ITGB2;DEFA1B;CAMP;ICAM1
KEGG_2019_Human	Epithelial cell signaling in Helicobacter pylori infection	6/68	5.268258641141533e-05	0.0016226236614715922	0	0	9.049773755656108	89.15136276603094	ATP6V1A;LYN;ATP6V1G1;ATP6V1B2;TCIRG1;ATP6V0D1
KEGG_2019_Human	Vibrio cholerae infection	5/50	0.00012420626376813808	0.003477775385507867	0	0	10.256410256410255	92.24171237764949	ATP6V1A;ATP6V1G1;ATP6V1B2;TCIRG1;ATP6V0D1
KEGG_2019_Human	Epstein-Barr virus infection	9/201	0.0001631564685067069	0.004187682691672143	0	0	4.592422502870264	40.04960224158985	LYN;MAP2K3;PSMC6;STAT1;PSMC2;PSMD1;TAP1;ICAM1;NFKB2
KEGG_2019_Human	Amoebiasis	6/96	0.00035616667138309847	0.008438410368153411	0	0	6.410256410256411	50.89815229891653	SERPINB1;ITGAM;ARG1;ITGB2;LAMA3;SERPINB9
KEGG_2019_Human	DNA replication	4/36	0.0004043072606690484	0.008894759734719064	0	0	11.396011396011396	89.04085951978712	RFC4;MCM7;MCM3;MCM4
KEGG_2019_Human	Fluid shear stress and atherosclerosis	7/139	0.0004340941716022297	0.008913400323565782	0	0	5.165098690278547	39.989480490686006	HSP90AA1;NCF1;NCF2;CYBA;ARHGEF2;MMP9;ICAM1
