Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Malaria	2/49	0.0002613077901061752	0.08048279935270193	0	0	81.63265306122447	673.454005959158	COMP;THBS2
KEGG_2019_Human	ECM-receptor interaction	2/82	0.0007314649167854895	0.11264559718496538	0	0	48.78048780487804	352.2176243562402	COMP;THBS2
KEGG_2019_Human	Phagosome	2/152	0.002480881956539845	0.2547038808714241	0	0	26.315789473684212	157.87213564180868	COMP;THBS2
KEGG_2019_Human	Focal adhesion	2/199	0.00420588210020594	0.3238529217158574	0	0	20.10050251256281	109.97530117445804	COMP;THBS2
KEGG_2019_Human	Human papillomavirus infection	2/330	0.011190816202370871	0.6893542780660458	0	0	12.12121212121212	54.45650689674345	COMP;THBS2
KEGG_2019_Human	PI3K-Akt signaling pathway	2/354	0.01279813990383098	0.6569711817299905	0	0	11.299435028248586	49.24808405231351	COMP;THBS2
KEGG_2019_Human	Ferroptosis	1/40	0.019825226718581047	0.8723099756175661	0	0	50.0	196.0400037766308	FTL
KEGG_2019_Human	Arginine and proline metabolism	1/49	0.024236870821197704	0.9331195266161116	0	0	40.81632653061224	151.8318456183184	P4HA2
KEGG_2019_Human	Mineral absorption	1/51	0.02521480619684272	0.8629067009586175	0	0	39.2156862745098	144.32642782389996	FTL
KEGG_2019_Human	Necroptosis	1/162	0.07812708300812571	1.0	0	0	12.345679012345679	31.474302577493834	FTL
KEGG_2019_Human	Transcriptional misregulation in cancer	1/186	0.08922185787739563	1.0	0	0	10.752688172043012	25.9852604940415	HMGA2
KEGG_2019_Human	MicroRNAs in cancer	1/299	0.13986206452524058	1.0	0	0	6.68896321070234	13.157850136756739	HMGA2
