Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	ECM-receptor interaction	1/82	0.016300495134466908	1.0	0	0	60.97560975609756	251.00974361482372	LAMA3
KEGG_2019_Human	Small cell lung cancer	1/93	0.01847189773451897	1.0	0	0	53.76344086021506	214.59702920367127	LAMA3
KEGG_2019_Human	Amoebiasis	1/96	0.01906347415271624	1.0	0	0	52.08333333333333	206.24901681390176	LAMA3
KEGG_2019_Human	Toxoplasmosis	1/113	0.022410691845982662	1.0	0	0	44.24778761061947	168.0627044002965	LAMA3
KEGG_2019_Human	Ribosome	1/153	0.03025270912475384	1.0	0	0	32.6797385620915	114.3192660350408	RPL22L1
KEGG_2019_Human	Focal adhesion	1/199	0.039212601968350656	1.0	0	0	25.125628140703515	81.37580665991197	LAMA3
KEGG_2019_Human	MicroRNAs in cancer	1/299	0.058476336456032826	1.0	0	0	16.72240802675585	47.4771423345089	FSCN1
KEGG_2019_Human	Human papillomavirus infection	1/330	0.06438884221854832	1.0	0	0	15.15151515151515	41.557801793312066	LAMA3
KEGG_2019_Human	PI3K-Akt signaling pathway	1/354	0.06894710721855409	1.0	0	0	14.124293785310734	37.77423206770821	LAMA3
KEGG_2019_Human	Pathways in cancer	1/530	0.10186746750633097	1.0	0	0	9.433962264150944	21.547949516442124	LAMA3
